num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
45,mandelbrot_seq,1747848912.047850,1747848912.198830,150.980
46,mandelbrot_seq,1747848912.349970,1747848912.500978,151.008
47,mandelbrot_seq,1747848912.638232,1747848912.789489,151.257
48,mandelbrot_seq,1747848912.948657,1747848913.099472,150.815
49,mandelbrot_seq,1747848913.240077,1747848913.391917,151.840
50,mandelbrot_seq,1747848913.543261,1747848913.694266,151.006
51,mandelbrot_seq,1747848913.871811,1747848914.023129,151.318
52,mandelbrot_seq,1747848914.166044,1747848914.318036,151.993
53,mandelbrot_seq,1747848914.458371,1747848914.609555,151.184
54,mandelbrot_seq,1747848914.748751,1747848914.901045,152.294
55,mandelbrot_seq,1747848915.067507,1747848915.219746,152.239
56,mandelbrot_seq,1747848915.379297,1747848915.531876,152.578
57,mandelbrot_seq,1747848915.684405,1747848915.835587,151.182
58,mandelbrot_seq,1747848915.984269,1747848916.135179,150.910
59,mandelbrot_seq,1747848916.285112,1747848916.436399,151.287
60,mandelbrot_seq,1747848916.600274,1747848916.752131,151.857
61,mandelbrot_seq,1747848916.898011,1747848917.049587,151.576
62,mandelbrot_seq,1747848917.208403,1747848917.359409,151.006
63,mandelbrot_seq,1747848917.522828,1747848917.673958,151.130
64,mandelbrot_seq,1747848917.833966,1747848917.984833,150.867
65,mandelbrot_seq,1747848918.120530,1747848918.271960,151.430
66,mandelbrot_seq,1747848918.421380,1747848918.573022,151.642
67,mandelbrot_seq,1747848918.737862,1747848918.888853,150.991
68,mandelbrot_seq,1747848919.029800,1747848919.181108,151.308
69,mandelbrot_seq,1747848919.329683,1747848919.481198,151.515
70,mandelbrot_seq,1747848919.625454,1747848919.776982,151.529
71,mandelbrot_seq,1747848919.917345,1747848920.068405,151.060
72,mandelbrot_seq,1747848920.215482,1747848920.366912,151.430
73,mandelbrot_seq,1747848920.513275,1747848920.664656,151.381
74,mandelbrot_seq,1747848920.809166,1747848920.960017,150.851
75,mandelbrot_seq,1747848921.101196,1747848921.252302,151.106
76,mandelbrot_seq,1747848921.396123,1747848921.547629,151.506
77,mandelbrot_seq,1747848921.695433,1747848921.846129,150.696
78,mandelbrot_seq,1747848921.985393,1747848922.136808,151.415
79,mandelbrot_seq,1747848922.280511,1747848922.432010,151.500
80,mandelbrot_seq,1747848922.609988,1747848922.761481,151.493
81,mandelbrot_seq,1747848922.917174,1747848923.068614,151.440
82,mandelbrot_seq,1747848923.218856,1747848923.369779,150.923
83,mandelbrot_seq,1747848923.506075,1747848923.657556,151.481
84,mandelbrot_seq,1747848923.812361,1747848923.963565,151.204
85,mandelbrot_seq,1747848924.121321,1747848924.272397,151.076
86,mandelbrot_seq,1747848924.410215,1747848924.561796,151.581
87,mandelbrot_seq,1747848924.716238,1747848924.867975,151.737
88,mandelbrot_seq,1747848925.000220,1747848925.151469,151.249
89,mandelbrot_seq,1747848925.292128,1747848925.443278,151.150
90,mandelbrot_seq,1747848925.603427,1747848925.754449,151.022
91,mandelbrot_seq,1747848925.906814,1747848926.058279,151.465
92,mandelbrot_seq,1747848926.213549,1747848926.364705,151.156
93,mandelbrot_seq,1747848926.533119,1747848926.684773,151.654
94,mandelbrot_seq,1747848926.850397,1747848927.002410,152.013
95,mandelbrot_seq,1747848927.150166,1747848927.301372,151.205
96,mandelbrot_seq,1747848927.448157,1747848927.600325,152.168
97,mandelbrot_seq,1747848927.758433,1747848927.909754,151.320
