num_iteration,func_name,start_unix_timestamp,end_unix_timestamp,elapsed_ms
38,mandelbrot_seq,1748013357.102344,1748013357.128460,26.116
39,mandelbrot_seq,1748013357.392675,1748013357.420522,27.847
40,mandelbrot_seq,1748013357.696995,1748013357.732900,35.904
41,mandelbrot_seq,1748013358.024426,1748013358.062755,38.329
42,mandelbrot_seq,1748013358.350139,1748013358.375046,24.907
43,mandelbrot_seq,1748013358.637652,1748013358.664606,26.954
44,mandelbrot_seq,1748013358.940470,1748013358.970978,30.509
45,mandelbrot_seq,1748013359.244300,1748013359.281245,36.945
46,mandelbrot_seq,1748013359.566699,1748013359.592100,25.401
47,mandelbrot_seq,1748013359.857474,1748013359.893431,35.957
48,mandelbrot_seq,1748013360.175971,1748013360.207364,31.393
49,mandelbrot_seq,1748013360.462809,1748013360.489802,26.993
50,mandelbrot_seq,1748013360.754340,1748013360.783853,29.513
51,mandelbrot_seq,1748013361.059855,1748013361.089296,29.441
52,mandelbrot_seq,1748013361.346394,1748013361.381202,34.808
53,mandelbrot_seq,1748013361.639979,1748013361.670187,30.209
54,mandelbrot_seq,1748013361.928410,1748013361.962524,34.115
55,mandelbrot_seq,1748013362.229886,1748013362.255177,25.291
56,mandelbrot_seq,1748013362.519707,1748013362.549297,29.589
57,mandelbrot_seq,1748013362.828122,1748013362.857096,28.974
58,mandelbrot_seq,1748013363.112402,1748013363.142137,29.735
59,mandelbrot_seq,1748013363.400184,1748013363.434129,33.945
60,mandelbrot_seq,1748013363.700766,1748013363.733824,33.058
61,mandelbrot_seq,1748013363.999279,1748013364.027813,28.534
62,mandelbrot_seq,1748013364.317753,1748013364.343763,26.011
63,mandelbrot_seq,1748013364.607915,1748013364.642280,34.365
64,mandelbrot_seq,1748013364.909628,1748013364.942717,33.089
65,mandelbrot_seq,1748013365.210143,1748013365.238949,28.806
66,mandelbrot_seq,1748013365.501623,1748013365.527747,26.124
67,mandelbrot_seq,1748013365.786230,1748013365.816060,29.830
68,mandelbrot_seq,1748013366.077478,1748013366.112883,35.406
69,mandelbrot_seq,1748013366.369429,1748013366.399079,29.650
70,mandelbrot_seq,1748013366.663734,1748013366.695973,32.239
71,mandelbrot_seq,1748013366.961490,1748013366.985954,24.464
72,mandelbrot_seq,1748013367.245910,1748013367.279388,33.478
73,mandelbrot_seq,1748013367.542383,1748013367.568638,26.254
74,mandelbrot_seq,1748013367.839874,1748013367.865694,25.820
75,mandelbrot_seq,1748013368.122502,1748013368.159433,36.931
76,mandelbrot_seq,1748013368.419429,1748013368.461998,42.569
77,mandelbrot_seq,1748013368.724838,1748013368.755846,31.008
78,mandelbrot_seq,1748013369.019727,1748013369.049163,29.437
79,mandelbrot_seq,1748013369.323957,1748013369.351963,28.006
80,mandelbrot_seq,1748013369.623251,1748013369.664848,41.597
81,mandelbrot_seq,1748013369.938730,1748013369.966360,27.629
82,mandelbrot_seq,1748013370.235754,1748013370.261172,25.419
83,mandelbrot_seq,1748013370.526120,1748013370.568364,42.244
84,mandelbrot_seq,1748013370.837759,1748013370.871250,33.491
85,mandelbrot_seq,1748013371.130243,1748013371.161971,31.729
86,mandelbrot_seq,1748013371.434281,1748013371.458418,24.137
87,mandelbrot_seq,1748013371.715867,1748013371.741750,25.883
88,mandelbrot_seq,1748013372.012058,1748013372.037699,25.640
89,mandelbrot_seq,1748013372.297430,1748013372.330666,33.235
90,mandelbrot_seq,1748013372.592690,1748013372.632340,39.650
91,mandelbrot_seq,1748013372.904397,1748013372.937344,32.946
92,mandelbrot_seq,1748013373.210666,1748013373.236350,25.684
93,mandelbrot_seq,1748013373.493418,1748013373.527068,33.650
94,mandelbrot_seq,1748013373.793947,1748013373.822070,28.123
95,mandelbrot_seq,1748013374.080965,1748013374.110317,29.353
96,mandelbrot_seq,1748013374.370631,1748013374.406301,35.670
97,mandelbrot_seq,1748013374.670813,1748013374.696712,25.899
